,,,,nation,pos,age,born,90s,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
,,,,Unnamed: 4_level_1,Unnamed: 5_level_1,Unnamed: 6_level_1,Unnamed: 7_level_1,Unnamed: 8_level_1,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,1819,Arsenal,Aaron Ramsey,WAL,MF,27,1990,14.8,4,33,13,39.4,2.23,0.88,0.12,0.31,17.2,0,0,0,3.4,3.4,0.1,0.6,0.6
ENG-Premier League,1819,Arsenal,Ainsley Maitland-Niles,ENG,DF,20,1997,11.0,1,5,3,60.0,0.46,0.27,0.2,0.33,15.4,0,0,0,0.9,0.9,0.18,0.1,0.1
ENG-Premier League,1819,Arsenal,Alex Iwobi,NGA,"FW,MF",22,1996,21.9,3,35,14,40.0,1.6,0.64,0.09,0.21,15.8,0,0,0,3.5,3.5,0.1,-0.5,-0.5
ENG-Premier League,1819,Arsenal,Alexandre Lacazette,FRA,FW,27,1991,27.8,13,81,28,34.6,2.91,1.01,0.16,0.46,14.4,1,0,0,11.7,11.7,0.14,1.3,1.3
ENG-Premier League,1819,Arsenal,Bernd Leno,GER,GK,26,1992,31.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,1819,Arsenal,Bukayo Saka,ENG,FW,16,2001,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,1819,Arsenal,Carl Jenkinson,ENG,DF,26,1992,1.8,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,1819,Arsenal,Danny Welbeck,ENG,"FW,MF",27,1990,1.7,1,4,2,50.0,2.35,1.18,0.25,0.5,10.5,0,0,0,0.8,0.8,0.2,0.2,0.2
ENG-Premier League,1819,Arsenal,Denis Suárez,ESP,"MF,FW",24,1994,0.8,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,1819,Arsenal,Eddie Nketiah,ENG,"MF,FW",19,1999,0.7,1,3,1,33.3,4.03,1.34,0.33,1.0,13.4,0,0,0,0.2,0.2,0.07,0.8,0.8
ENG-Premier League,1819,Arsenal,Granit Xhaka,SUI,"MF,DF",25,1992,27.8,4,29,11,37.9,1.04,0.4,0.14,0.36,26.5,7,0,0,2.0,2.0,0.07,2.0,2.0
ENG-Premier League,1819,Arsenal,Henrikh Mkhitaryan,ARM,"FW,MF",29,1989,18.2,6,49,14,28.6,2.69,0.77,0.12,0.43,19.1,1,0,0,5.0,5.0,0.1,1.0,1.0
ENG-Premier League,1819,Arsenal,Héctor Bellerín,ESP,DF,23,1995,17.0,0,18,4,22.2,1.06,0.23,0.0,0.0,18.5,0,0,0,0.9,0.9,0.05,-0.9,-0.9
ENG-Premier League,1819,Arsenal,Joe Willock,ENG,"MF,FW",18,1999,0.7,0,2,0,0.0,2.81,0.0,0.0,,17.4,0,0,0,0.1,0.1,0.06,-0.1,-0.1
ENG-Premier League,1819,Arsenal,Konstantinos Mavropanos,GRE,DF,20,1997,1.6,0,2,0,0.0,1.22,0.0,0.0,,15.1,0,0,0,0.1,0.1,0.06,-0.1,-0.1
ENG-Premier League,1819,Arsenal,Laurent Koscielny,FRA,DF,32,1985,14.8,3,5,4,80.0,0.34,0.27,0.6,0.75,6.9,0,0,0,1.4,1.4,0.28,1.6,1.6
ENG-Premier League,1819,Arsenal,Lucas Torreira,URU,MF,22,1996,26.5,2,25,6,24.0,0.94,0.23,0.08,0.33,23.1,2,0,0,1.5,1.5,0.06,0.5,0.5
ENG-Premier League,1819,Arsenal,Mattéo Guendouzi,FRA,MF,19,1999,23.9,0,16,4,25.0,0.67,0.17,0.0,0.0,24.4,0,0,0,0.6,0.6,0.04,-0.6,-0.6
ENG-Premier League,1819,Arsenal,Mesut Özil,GER,"MF,FW",29,1988,19.3,5,11,6,54.5,0.57,0.31,0.45,0.83,13.7,0,0,0,1.7,1.7,0.16,3.3,3.3
ENG-Premier League,1819,Arsenal,Mohamed Elneny,EGY,MF,26,1992,4.2,0,7,0,0.0,1.66,0.0,0.0,,17.6,0,0,0,0.4,0.4,0.06,-0.4,-0.4
ENG-Premier League,1819,Arsenal,Nacho Monreal,ESP,DF,32,1986,20.7,1,7,4,57.1,0.34,0.19,0.14,0.25,15.2,0,0,0,1.3,1.3,0.19,-0.3,-0.3
ENG-Premier League,1819,Arsenal,Petr Čech,CZE,GK,36,1982,6.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,1819,Arsenal,Pierre-Emerick Aubameyang,GAB,FW,29,1989,30.3,22,89,34,38.2,2.94,1.12,0.2,0.53,14.2,0,4,5,22.6,18.5,0.21,-0.6,-0.5
ENG-Premier League,1819,Arsenal,Rob Holding,ENG,DF,22,1995,9.0,0,2,0,0.0,0.22,0.0,0.0,,20.1,0,0,0,0.1,0.1,0.06,-0.1,-0.1
ENG-Premier League,1819,Arsenal,Sead Kolašinac,BIH,"DF,MF",25,1993,21.0,0,9,2,22.2,0.43,0.1,0.0,0.0,17.5,0,0,0,0.4,0.4,0.04,-0.4,-0.4
ENG-Premier League,1819,Arsenal,Shkodran Mustafi,GER,DF,26,1992,29.0,2,18,8,44.4,0.62,0.28,0.11,0.25,10.3,0,0,0,1.5,1.5,0.08,0.5,0.5
ENG-Premier League,1819,Arsenal,Sokratis Papastathopoulos,GRE,DF,30,1988,24.4,1,11,1,9.1,0.45,0.04,0.09,1.0,11.0,0,0,0,0.8,0.8,0.07,0.2,0.2
ENG-Premier League,1819,Arsenal,Stephan Lichtsteiner,SUI,DF,34,1984,10.4,0,1,0,0.0,0.1,0.0,0.0,,29.8,0,0,0,0.0,0.0,0.02,0.0,0.0
ENG-Premier League,1819,Bournemouth,Adam Smith,ENG,"DF,MF",27,1991,23.0,1,7,1,14.3,0.3,0.04,0.14,1.0,21.6,0,0,0,0.5,0.5,0.07,0.5,0.5
ENG-Premier League,1819,Bournemouth,Andrew Surman,ENG,MF,31,1986,16.0,0,9,1,11.1,0.56,0.06,0.0,0.0,24.9,0,0,0,0.3,0.3,0.03,-0.3,-0.3
ENG-Premier League,1819,Bournemouth,Artur Boruc,POL,GK,38,1980,12.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,1819,Bournemouth,Asmir Begović,BIH,GK,31,1987,24.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,1819,Bournemouth,Callum Wilson,ENG,FW,26,1992,28.1,14,63,27,42.9,2.24,0.96,0.21,0.48,11.8,0,1,2,13.4,11.9,0.19,0.6,1.1
ENG-Premier League,1819,Bournemouth,Charlie Daniels,ENG,DF,31,1986,17.6,1,12,3,25.0,0.68,0.17,0.08,0.33,20.0,0,0,0,0.4,0.4,0.04,0.6,0.6
ENG-Premier League,1819,Bournemouth,Chris Mepham,WAL,DF,20,1997,9.4,0,2,0,0.0,0.21,0.0,0.0,,8.9,0,0,0,0.1,0.1,0.06,-0.1,-0.1
ENG-Premier League,1819,Bournemouth,Dan Gosling,ENG,MF,28,1990,19.3,2,21,7,33.3,1.09,0.36,0.1,0.29,18.5,0,0,0,1.9,1.9,0.09,0.1,0.1
ENG-Premier League,1819,Bournemouth,David Brooks,WAL,"MF,FW",21,1997,25.1,7,41,20,48.8,1.63,0.8,0.17,0.35,16.0,0,0,0,6.0,6.0,0.15,1.0,1.0
ENG-Premier League,1819,Bournemouth,Diego Rico,ESP,"DF,MF",25,1993,6.8,0,9,0,0.0,1.32,0.0,0.0,,28.2,1,0,0,0.2,0.2,0.03,-0.2,-0.2
ENG-Premier League,1819,Bournemouth,Dominic Solanke,ENG,"FW,MF",20,1997,3.9,0,11,3,27.3,2.85,0.78,0.0,0.0,13.9,0,0,0,1.0,1.0,0.09,-1.0,-1.0
ENG-Premier League,1819,Bournemouth,Emerson Hyndman,USA,MF,22,1996,0.4,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,1819,Bournemouth,Jack Simpson,ENG,DF,21,1996,4.5,0,2,1,50.0,0.45,0.22,0.0,0.0,9.1,0,0,0,0.1,0.1,0.06,-0.1,-0.1
ENG-Premier League,1819,Bournemouth,Jefferson Lerma,COL,MF,23,1994,27.8,2,31,8,25.8,1.11,0.29,0.06,0.25,25.8,0,0,0,1.3,1.3,0.04,0.7,0.7
ENG-Premier League,1819,Bournemouth,Jermain Defoe,ENG,FW,35,1982,0.3,0,1,1,100.0,3.6,3.6,0.0,0.0,8.8,0,0,0,0.1,0.1,0.12,-0.1,-0.1
ENG-Premier League,1819,Bournemouth,Jordon Ibe,ENG,"MF,DF",22,1995,8.9,1,9,3,33.3,1.02,0.34,0.11,0.33,16.9,0,0,0,0.8,0.8,0.09,0.2,0.2
ENG-Premier League,1819,Bournemouth,Joshua King,NOR,"FW,MF",26,1992,32.9,12,66,18,27.3,2.01,0.55,0.11,0.39,16.3,0,5,6,13.5,8.7,0.13,-1.5,-1.7
